route_id,distance_km,fuel_cost,maintenance_cost,no_passengers,time_slot,travel_duration_min,total_cost
R004,32.3,2.81,16.64,16,Afternoon,74.03,123.74
R011,34.61,3.15,16.75,15,Morning,104.18,148.26
R005,33.5,3.19,18.01,26,Morning,96.67,146.71
R003,22.15,3.0,9.86,20,Evening,68.62,92.11
R012,30.55,2.86,18.19,31,Evening,82.67,125.33
R002,29.7,2.19,17.58,15,Afternoon,82.46,100.48
R011,28.76,2.27,13.34,7,Night,59.55,91.37
R007,25.55,2.69,12.72,18,Morning,79.49,99.16
R006,34.21,3.06,19.47,18,Morning,103.38,146.64
R007,26.49,2.21,12.69,9,Night,59.48,84.16
R007,21.32,2.02,12.66,11,Night,43.94,65.68
R004,34.81,3.14,20.65,12,Afternoon,86.47,148.62
R002,24.29,3.06,11.78,16,Morning,76.12,103.01
R012,38.11,2.01,19.53,22,Afternoon,92.57,116.85
R016,20.39,2.9,12.12,24,Evening,59.74,85.55
R018,36.29,3.12,16.32,26,Evening,105.42,153.3
R011,31.66,2.28,15.1,6,Night,55.29,98.97
R016,19.93,2.68,11.69,21,Evening,60.28,79.18
R005,37.5,2.63,19.87,12,Afternoon,92.88,138.09
R009,32.41,1.81,14.72,7,Night,62.24,86.59
R018,37.44,2.49,21.84,22,Evening,103.13,138.01
R010,31.56,2.16,13.24,6,Night,62.73,94.67
R006,41.09,2.53,20.82,25,Evening,107.55,148.6
R015,36.45,1.72,18.01,12,Night,77.5,97.41
R004,36.06,2.89,16.94,21,Evening,113.76,145.95
